age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	deposit
59	admin.	married	secondary	no	2343	yes	no	unknown	5	may	1042	1	-1	0	unknown	yes
56	admin.	married	secondary	no	45	no	no	unknown	5	may	1467	1	-1	0	unknown	yes
41	technician	married	secondary	no	1270	yes	no	unknown	5	may	1389	1	-1	0	unknown	yes
55	services	married	secondary	no	2476	yes	no	unknown	5	may	579	1	-1	0	unknown	yes
54	admin.	married	tertiary	no	184	no	no	unknown	5	may	673	2	-1	0	unknown	yes
42	management	single	tertiary	no	0	yes	yes	unknown	5	may	562	2	-1	0	unknown	yes
56	management	married	tertiary	no	830	yes	yes	unknown	6	may	1201	1	-1	0	unknown	yes
60	retired	divorced	secondary	no	545	yes	no	unknown	6	may	1030	1	-1	0	unknown	yes
37	technician	married	secondary	no	1	yes	no	unknown	6	may	608	1	-1	0	unknown	yes
28	services	single	secondary	no	5090	yes	no	unknown	6	may	1297	3	-1	0	unknown	yes
38	admin.	single	secondary	no	100	yes	no	unknown	7	may	786	1	-1	0	unknown	yes
30	blue-collar	married	secondary	no	309	yes	no	unknown	7	may	1574	2	-1	0	unknown	yes
29	management	married	tertiary	no	199	yes	yes	unknown	7	may	1689	4	-1	0	unknown	yes
46	blue-collar	single	tertiary	no	460	yes	no	unknown	7	may	1102	2	-1	0	unknown	yes
31	technician	single	tertiary	no	703	yes	no	unknown	8	may	943	2	-1	0	unknown	yes
35	management	divorced	tertiary	no	3837	yes	no	unknown	8	may	1084	1	-1	0	unknown	yes
32	blue-collar	single	primary	no	611	yes	no	unknown	8	may	541	3	-1	0	unknown	yes
49	services	married	secondary	no	-8	yes	no	unknown	8	may	1119	1	-1	0	unknown	yes
41	admin.	married	secondary	no	55	yes	no	unknown	8	may	1120	2	-1	0	unknown	yes
49	admin.	divorced	secondary	no	168	yes	yes	unknown	8	may	513	1	-1	0	unknown	yes
28	admin.	divorced	secondary	no	785	yes	no	unknown	8	may	442	2	-1	0	unknown	yes
43	management	single	tertiary	no	2067	yes	no	unknown	8	may	756	1	-1	0	unknown	yes
43	management	divorced	tertiary	no	388	yes	no	unknown	8	may	2087	2	-1	0	unknown	yes
43	blue-collar	married	primary	no	-192	yes	no	unknown	8	may	1120	2	-1	0	unknown	yes
37	unemployed	single	secondary	no	381	yes	no	unknown	8	may	985	2	-1	0	unknown	yes
35	blue-collar	single	secondary	no	40	yes	no	unknown	9	may	617	4	-1	0	unknown	yes
31	technician	single	tertiary	no	22	yes	no	unknown	9	may	483	3	-1	0	unknown	yes
43	blue-collar	single	secondary	no	3	yes	no	unknown	9	may	929	3	-1	0	unknown	yes
31	admin.	married	secondary	no	307	yes	no	unknown	9	may	538	1	-1	0	unknown	yes
28	blue-collar	single	secondary	no	759	yes	no	unknown	9	may	710	1	-1	0	unknown	yes
32	blue-collar	married	secondary	yes	-1	yes	no	unknown	9	may	653	1	-1	0	unknown	yes
60	technician	married	primary	no	65	yes	no	unknown	9	may	1028	2	-1	0	unknown	yes
26	blue-collar	single	secondary	no	82	yes	no	unknown	9	may	654	1	-1	0	unknown	yes
40	blue-collar	married	secondary	no	10	yes	no	unknown	9	may	1692	2	-1	0	unknown	yes
33	blue-collar	divorced	primary	no	390	yes	no	unknown	9	may	665	2	-1	0	unknown	yes
32	management	single	tertiary	no	311	no	no	unknown	12	may	757	2	-1	0	unknown	yes
35	blue-collar	married	primary	no	414	no	no	unknown	13	may	504	4	-1	0	unknown	yes
33	management	divorced	secondary	no	5	yes	no	unknown	13	may	1346	1	-1	0	unknown	yes
38	management	married	tertiary	no	119	yes	no	unknown	13	may	568	4	-1	0	unknown	yes
23	entrepreneur	single	primary	no	4	yes	no	unknown	13	may	395	2	-1	0	unknown	yes
60	blue-collar	married	primary	no	1262	yes	yes	unknown	13	may	1015	1	-1	0	unknown	yes
48	management	married	tertiary	no	1949	yes	no	unknown	13	may	683	2	-1	0	unknown	yes
45	entrepreneur	divorced	tertiary	no	-395	yes	no	unknown	13	may	470	1	-1	0	unknown	yes
36	blue-collar	married	secondary	no	1165	yes	no	unknown	13	may	1001	4	-1	0	unknown	yes
52	management	married	unknown	no	2240	yes	no	unknown	13	may	845	1	-1	0	unknown	yes
35	blue-collar	divorced	primary	no	300	yes	no	unknown	13	may	945	2	-1	0	unknown	yes
43	technician	married	secondary	no	3285	yes	no	unknown	13	may	1721	2	-1	0	unknown	yes
52	housemaid	married	secondary	no	3923	yes	no	unknown	14	may	942	3	-1	0	unknown	yes
53	technician	divorced	primary	no	1443	yes	no	unknown	14	may	476	1	-1	0	unknown	yes
48	blue-collar	divorced	primary	no	24	yes	no	unknown	14	may	832	1	-1	0	unknown	yes
41	blue-collar	single	primary	no	1618	yes	no	unknown	14	may	1553	1	-1	0	unknown	yes
39	management	divorced	tertiary	no	517	yes	yes	unknown	14	may	1328	1	-1	0	unknown	yes
59	retired	married	secondary	no	1521	yes	yes	unknown	14	may	1125	2	-1	0	unknown	yes
41	blue-collar	married	secondary	no	2823	yes	no	unknown	14	may	858	1	-1	0	unknown	yes
48	blue-collar	married	secondary	no	1405	yes	no	unknown	14	may	629	2	-1	0	unknown	yes
40	admin.	married	secondary	no	1535	yes	no	unknown	14	may	704	1	-1	0	unknown	yes
48	blue-collar	married	secondary	no	1596	yes	no	unknown	14	may	760	1	-1	0	unknown	yes
60	retired	married	primary	no	1542	yes	no	unknown	14	may	930	1	-1	0	unknown	yes
40	technician	single	unknown	no	3652	yes	no	unknown	14	may	1028	2	-1	0	unknown	yes
57	technician	married	tertiary	no	-1	no	no	unknown	14	may	850	2	-1	0	unknown	yes
51	blue-collar	married	secondary	no	7180	yes	no	unknown	14	may	927	1	-1	0	unknown	yes
41	blue-collar	divorced	secondary	no	5291	yes	no	unknown	14	may	1423	3	-1	0	unknown	yes
41	blue-collar	married	secondary	no	1384	yes	no	unknown	15	may	1162	4	-1	0	unknown	yes
52	blue-collar	divorced	primary	no	-191	yes	no	unknown	15	may	755	1	-1	0	unknown	yes
59	blue-collar	married	primary	no	320	yes	no	unknown	15	may	695	1	-1	0	unknown	yes
44	blue-collar	married	unknown	no	146	yes	no	unknown	15	may	483	1	-1	0	unknown	yes
49	unknown	married	primary	no	341	yes	yes	unknown	15	may	520	2	-1	0	unknown	yes
40	services	married	primary	no	-9	yes	no	unknown	15	may	920	2	-1	0	unknown	yes
41	admin.	married	primary	no	-306	yes	no	unknown	15	may	500	1	-1	0	unknown	yes
44	technician	married	tertiary	no	4580	yes	no	unknown	15	may	911	2	-1	0	unknown	yes
60	services	single	primary	no	313	yes	no	unknown	15	may	920	2	-1	0	unknown	yes
29	management	married	tertiary	no	10576	no	no	unknown	15	may	1224	2	-1	0	unknown	yes
41	retired	divorced	primary	no	-233	yes	no	unknown	15	may	1156	2	-1	0	unknown	yes
41	blue-collar	married	primary	no	2453	yes	no	unknown	15	may	1052	1	-1	0	unknown	yes
42	technician	single	secondary	no	1364	yes	no	unknown	15	may	1867	6	-1	0	unknown	yes
36	services	single	unknown	no	281	yes	no	unknown	16	may	515	1	-1	0	unknown	yes
39	technician	married	tertiary	no	94	yes	yes	unknown	16	may	813	1	-1	0	unknown	yes
31	self-employed	single	tertiary	no	144	yes	no	unknown	16	may	676	1	-1	0	unknown	yes
26	blue-collar	married	secondary	no	246	yes	no	unknown	16	may	1143	3	-1	0	unknown	yes
31	blue-collar	married	secondary	no	92	yes	no	unknown	16	may	688	1	-1	0	unknown	yes
29	admin.	single	secondary	no	163	yes	yes	unknown	16	may	803	1	-1	0	unknown	yes
37	services	divorced	secondary	no	49	yes	no	unknown	16	may	619	2	-1	0	unknown	yes
33	blue-collar	single	secondary	no	-416	yes	no	unknown	16	may	767	2	-1	0	unknown	yes
24	technician	single	secondary	no	409	yes	no	unknown	16	may	912	1	-1	0	unknown	yes
50	admin.	divorced	secondary	no	363	yes	no	unknown	16	may	1340	1	-1	0	unknown	yes
27	technician	single	tertiary	no	3706	yes	no	unknown	16	may	897	1	-1	0	unknown	yes
54	management	single	tertiary	no	4393	yes	no	unknown	16	may	1297	3	-1	0	unknown	yes
30	technician	single	secondary	no	863	yes	no	unknown	16	may	1193	5	-1	0	unknown	yes
34	blue-collar	married	primary	no	695	yes	yes	unknown	16	may	1064	4	-1	0	unknown	yes
37	management	single	secondary	no	792	yes	no	unknown	16	may	1187	4	-1	0	unknown	yes
41	admin.	single	secondary	no	1020	yes	no	unknown	19	may	882	1	-1	0	unknown	yes
47	blue-collar	married	secondary	no	863	yes	no	unknown	19	may	943	2	-1	0	unknown	yes
31	admin.	married	secondary	no	97	yes	no	unknown	19	may	607	1	-1	0	unknown	yes
31	blue-collar	married	secondary	no	754	yes	no	unknown	19	may	1022	4	-1	0	unknown	yes
43	services	divorced	secondary	no	1040	yes	no	unknown	19	may	552	3	-1	0	unknown	yes
37	management	divorced	tertiary	no	122	yes	no	unknown	19	may	1622	2	-1	0	unknown	yes
30	technician	single	tertiary	no	880	yes	yes	unknown	19	may	967	6	-1	0	unknown	yes
41	technician	married	secondary	no	501	yes	no	unknown	19	may	579	5	-1	0	unknown	yes
36	blue-collar	married	secondary	no	4438	yes	no	unknown	20	may	446	1	-1	0	unknown	yes
35	blue-collar	divorced	secondary	no	0	yes	no	unknown	20	may	1205	1	-1	0	unknown	yes
29	services	single	secondary	no	271	yes	no	unknown	20	may	1882	2	-1	0	unknown	yes
35	blue-collar	married	primary	no	102	yes	no	unknown	20	may	1334	1	-1	0	unknown	yes
31	blue-collar	married	secondary	no	2	yes	no	unknown	20	may	182	2	-1	0	unknown	yes
35	services	married	secondary	no	4170	yes	no	unknown	20	may	1777	1	-1	0	unknown	yes
34	technician	single	secondary	no	85	yes	no	unknown	20	may	1182	4	-1	0	unknown	yes
31	admin.	single	secondary	no	431	yes	yes	unknown	20	may	1045	1	-1	0	unknown	yes
44	technician	divorced	secondary	no	982	yes	no	unknown	20	may	650	3	-1	0	unknown	yes
36	blue-collar	married	primary	no	408	yes	yes	unknown	20	may	1063	2	-1	0	unknown	yes
35	blue-collar	married	unknown	no	4822	yes	no	unknown	20	may	843	2	-1	0	unknown	yes
41	blue-collar	married	primary	no	1250	yes	no	unknown	20	may	1392	2	-1	0	unknown	yes
